epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.116,1.40837,1.55835,1.09486,0.67372,0.4334,0.50403,0.29043,1.29943,1.1752,1.07868,0.000369843,0.000369843,0.000369843
2,202.152,1.29401,1.0967,1.06746,0.63094,0.52477,0.56559,0.34284,1.24041,0.93149,1.06382,0.000725521,0.000725521,0.000725521
3,298.525,1.25658,0.98304,1.05539,0.64456,0.53425,0.58643,0.35511,1.18948,0.88026,1.04591,0.00106653,0.00106653,0.00106653
4,394.844,1.21989,0.91968,1.04737,0.72499,0.55437,0.63926,0.39079,1.1619,0.83541,1.04707,0.00104501,0.00104501,0.00104501
5,491.001,1.19245,0.8766,1.0343,0.70426,0.55793,0.63253,0.399,1.12051,0.79514,1.02964,0.00102301,0.00102301,0.00102301
6,590.033,1.16874,0.83743,1.02475,0.71713,0.59664,0.66385,0.416,1.12241,0.77805,1.02041,0.00100101,0.00100101,0.00100101
7,685.861,1.14306,0.80936,1.01498,0.75185,0.62036,0.69551,0.43545,1.10912,0.75009,1.02126,0.000979013,0.000979013,0.000979013
8,781.054,1.12577,0.79327,1.00923,0.75564,0.62831,0.70326,0.44259,1.09988,0.74115,1.01495,0.000957015,0.000957015,0.000957015
9,876.507,1.11286,0.7744,1.00463,0.74917,0.63575,0.71554,0.46128,1.06576,0.71253,1.00051,0.000935018,0.000935018,0.000935018
10,971.923,1.0858,0.74775,0.99674,0.78055,0.66437,0.74042,0.47753,1.04374,0.6913,0.99577,0.00091302,0.00091302,0.00091302
11,1067.24,1.08217,0.74111,0.99351,0.79582,0.65614,0.7448,0.48507,1.02724,0.67702,0.98584,0.000891022,0.000891022,0.000891022
12,1162.59,1.06531,0.72433,0.98951,0.80472,0.65592,0.75522,0.49718,1.0179,0.66705,0.98643,0.000869024,0.000869024,0.000869024
13,1258.27,1.06078,0.72217,0.98744,0.7805,0.68408,0.76677,0.50133,1.00909,0.65728,0.98125,0.000847026,0.000847026,0.000847026
14,1353.64,1.0453,0.70213,0.97818,0.79589,0.68255,0.77057,0.5048,0.99766,0.65113,0.98063,0.000825029,0.000825029,0.000825029
15,1448.93,1.02781,0.68554,0.97525,0.80451,0.68374,0.7764,0.51415,0.98679,0.63552,0.97335,0.000803031,0.000803031,0.000803031
16,1544.05,1.02536,0.67722,0.97169,0.82752,0.6973,0.79032,0.52506,0.98145,0.62482,0.97099,0.000781033,0.000781033,0.000781033
17,1639.81,1.01279,0.67008,0.96757,0.7963,0.71623,0.80095,0.52876,0.97323,0.61557,0.96535,0.000759035,0.000759035,0.000759035
18,1736.91,1.00671,0.66012,0.96577,0.83845,0.69097,0.79389,0.53166,0.96576,0.61077,0.96676,0.000737037,0.000737037,0.000737037
19,1837.21,1.0029,0.66015,0.96283,0.83374,0.72715,0.81678,0.54441,0.95638,0.60597,0.96245,0.00071504,0.00071504,0.00071504
20,1936.52,0.99006,0.6456,0.9592,0.84425,0.72592,0.8197,0.55077,0.94954,0.5906,0.9593,0.000693042,0.000693042,0.000693042
21,2035.93,0.98054,0.63784,0.95558,0.84344,0.73819,0.82173,0.55492,0.93406,0.59173,0.95409,0.000671044,0.000671044,0.000671044
22,2134.95,0.96771,0.63033,0.95041,0.86286,0.72787,0.82852,0.55775,0.93239,0.58433,0.95161,0.000649046,0.000649046,0.000649046
23,2234.65,0.96261,0.62364,0.95029,0.84513,0.73919,0.83114,0.56192,0.91891,0.57264,0.94422,0.000627048,0.000627048,0.000627048
24,2333.6,0.95644,0.6178,0.94854,0.86029,0.73843,0.82602,0.56051,0.91327,0.57165,0.94574,0.000605051,0.000605051,0.000605051
25,2432.73,0.95257,0.61206,0.94604,0.8638,0.75606,0.84216,0.57527,0.90327,0.56061,0.94459,0.000583053,0.000583053,0.000583053
26,2532.04,0.93675,0.60185,0.94137,0.8565,0.76332,0.84656,0.57972,0.8913,0.55203,0.93908,0.000561055,0.000561055,0.000561055
27,2631.62,0.93319,0.59752,0.93969,0.85767,0.76571,0.84654,0.58584,0.8846,0.54404,0.9361,0.000539057,0.000539057,0.000539057
28,2730.83,0.92941,0.59414,0.93843,0.89215,0.76846,0.85777,0.59075,0.88466,0.54461,0.9339,0.000517059,0.000517059,0.000517059
29,2829.99,0.92125,0.58501,0.9348,0.87491,0.76696,0.8559,0.59278,0.87378,0.54,0.93515,0.000495062,0.000495062,0.000495062
30,2939.29,0.9084,0.57526,0.9299,0.87169,0.77719,0.85738,0.59633,0.87061,0.52958,0.93089,0.000473064,0.000473064,0.000473064
31,3049.44,0.90831,0.57374,0.93166,0.86047,0.77491,0.85464,0.60168,0.86536,0.52713,0.93044,0.000451066,0.000451066,0.000451066
32,3159.22,0.90566,0.57175,0.9284,0.87197,0.77956,0.85747,0.60292,0.85644,0.52881,0.92982,0.000429068,0.000429068,0.000429068
